Group,Code,en
Admin Xlations,Admin.Bet_Summ.STAKES,Stakes
Admin Xlations,Admin.Bet_Summ.TOTAL,Total
Admin Xlations,Admin.Bet_Summ.XGAME_TITLE,Lottery/XGames summary by year and channel
Admin Xlations,Admin.CASE_INSENSITIVE,case insensitive
Admin Xlations,Admin.Cust_Details.ACCEPTABLE_CONTACT_METHODS,Acceptable Contact Methods
Admin Xlations,Admin.Cust_Details.ACCTNO,Account No
Admin Xlations,Admin.Cust_Details.ACCT_BAL,Account balance
Admin Xlations,Admin.Cust_Details.ACCT_CCY,Account currency
Admin Xlations,Admin.Cust_Details.ACCT_INFORMATION,Account information
Admin Xlations,Admin.Cust_Details.ACCT_TYPE,Account Type
Admin Xlations,Admin.Cust_Details.ADDR_CONTACT_OK,Address OK?
Admin Xlations,Admin.Cust_Details.AMEND_STATUS_FLAGS,Amend Status Flags
Admin Xlations,Admin.Cust_Details.BET_SEARCH_BUTTON,Bet Search
Admin Xlations,Admin.Cust_Details.BET_XFER_BUTTON,Bet Transfer
Admin Xlations,Admin.Cust_Details.BY_CLASS,by class
Admin Xlations,Admin.Cust_Details.BY_MARKETING,by marketing
Admin Xlations,Admin.Cust_Details.BY_PARTNERS,by partners
Admin Xlations,Admin.Cust_Details.BY_US,by us
Admin Xlations,Admin.Cust_Details.CONTACTABLE,Contactable
Admin Xlations,Admin.Cust_Details.CREDIT_LIMIT,Credit Limit
Admin Xlations,Admin.Cust_Details.CUST_ATTRIBUTES,Customer Attributes
Admin Xlations,Admin.Cust_Details.CUST_CAT,Customer Category
Admin Xlations,Admin.Cust_Details.CUST_DETAILS,Customer Details
Admin Xlations,Admin.Cust_Details.CUST_GROUP,Customer Group
Admin Xlations,Admin.Cust_Details.CUST_IN_SELF_EXCL_PERIOD,This customer is currently within a self-exclusion period
Admin Xlations,Admin.Cust_Details.CUST_NOTES,Notes
Admin Xlations,Admin.Cust_Details.CUST_OUT_SELF_EXCL_PERIOD,The customer is outside their self exclusion period and needs clearing.
Admin Xlations,Admin.Cust_Details.DAILY_TOTALS_BUTTON,Daily Totals
Admin Xlations,Admin.Cust_Details.DOB,DOB
Admin Xlations,Admin.Cust_Details.ELITE_CUST,Elite Customer
Admin Xlations,Admin.Cust_Details.EMAIL_CONTACT_OK,Email OK?
Admin Xlations,Admin.Cust_Details.FB_TOK_OPEN,Free bet tokens (open)
Admin Xlations,Admin.Cust_Details.FB_TOK_RDMD,Free bet tokens (redeemed)
Admin Xlations,Admin.Cust_Details.FNAME,First Name
Admin Xlations,Admin.Cust_Details.FRAUD_STATUS,Fraud Status
Admin Xlations,Admin.Cust_Details.GRAND_TOTALS,Grand Totals
Admin Xlations,Admin.Cust_Details.LAST_BET,Last bet
Admin Xlations,Admin.Cust_Details.LIABILITY_GROUP,Liability Group
Admin Xlations,Admin.Cust_Details.LNAME,Last Name
Admin Xlations,Admin.Cust_Details.LOGIN_HIST_BUTTON,Login History
Admin Xlations,Admin.Cust_Details.MASTER_ACCT,Master Account
Admin Xlations,Admin.Cust_Details.MNAME,Middle Name
Admin Xlations,Admin.Cust_Details.MOBILE_CONTACT_OK,Mobile OK?
Admin Xlations,Admin.Cust_Details.MSF,Max stake scale
Admin Xlations,Admin.Cust_Details.NICKNAME,Nickname
